match_id,slug,start_date,end_date,tournament_id,tournament_name,stage_name,bo_type,tier,tier_rank,team1_id,team1_name,team1_score_bo,team2_id,team2_name,team2_score_bo,winner_team_id,winner_name,loser_team_id,loser_name
104559,g2-vs-falcons-esports-07-12-2025,2025-12-07T19:00:00.000+00:00,2025-12-07T21:59:16.692+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,793,G2,1,2713,Falcons,2,2713,Falcons,793,G2
104558,faze-vs-passion-ua-07-12-2025,2025-12-07T16:30:00.000+00:00,2025-12-07T18:34:00.228+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,791,FaZe,2,7631,Passion UA,0,791,FaZe,7631,Passion UA
104557,b8-vs-natus-vincere-07-12-2025,2025-12-07T14:00:00.000+00:00,2025-12-07T16:02:09.717+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,1539,B8,0,787,Natus Vincere,2,787,Natus Vincere,1539,B8
104555,g2-vs-the-mongolz-06-12-2025,2025-12-06T20:00:00.000+00:00,2025-12-06T21:49:05.187+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,793,G2,0,736,The MongolZ,2,736,The MongolZ,793,G2
104556,3dmax-vs-faze-06-12-2025,2025-12-06T19:20:00.000+00:00,2025-12-06T20:59:41.506+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,696,3DMAX,0,791,FaZe,2,791,FaZe,696,3DMAX
104553,passion-ua-vs-imperial-06-12-2025,2025-12-06T16:50:00.000+00:00,2025-12-06T18:58:39.010+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,7631,Passion UA,2,1430,Imperial,0,7631,Passion UA,1430,Imperial
104554,mousesports-vs-falcons-esports-06-12-2025,2025-12-06T16:35:00.000+00:00,2025-12-06T19:43:28.339+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,765,MOUZ,2,2713,Falcons,1,765,MOUZ,2713,Falcons
104551,b8-vs-pain-gaming-06-12-2025,2025-12-06T14:00:00.000+00:00,2025-12-06T16:37:23.525+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,1539,B8,2,637,paiN,0,1539,B8,637,paiN
104552,natus-vincere-vs-vitality-06-12-2025,2025-12-06T14:00:00.000+00:00,2025-12-06T16:10:32.849+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,787,Natus Vincere,0,667,Vitality,2,667,Vitality,787,Natus Vincere
104550,furia-vs-g2-05-12-2025,2025-12-05T19:50:00.000+00:00,2025-12-05T22:02:57.996+00:00,3579,StarLadder Budapest Major 2025,,3,s,1,648,FURIA,2,793,G2,0,648,FURIA,793,G2
